,Belgium,France,Germany,Italy,Netherlands,Portugal,Spain,Sweden,Switzerland,United States,Brazil,South Korea
0,8.628413572977742e-08,4.596045023592418e-08,1.1935460904830872e-08,4.9618082999409146e-08,5.8360514256510686e-08,1.9614175439188357e-07,2.1388186102799365e-08,9.901705766852455e-08,1.1554524994632923e-07,3.021123876390028e-09,4.704567088817978e-09,1.9504894392407227e-08
1,8.628413572977742e-08,4.596045023592418e-08,4.774184361932349e-08,4.9618082999409146e-08,1.1672102851302137e-07,3.9228350878376714e-07,2.1388186102799365e-08,9.901705766852455e-08,1.1554524994632923e-07,3.021123876390028e-09,4.704567088817978e-09,1.9504894392407227e-08
2,8.628413572977742e-08,4.596045023592418e-08,4.774184361932349e-08,4.9618082999409146e-08,4.085235997955748e-07,4.903543859797089e-07,2.1388186102799365e-08,9.901705766852455e-08,9.243619995706338e-07,3.021123876390028e-09,4.704567088817978e-09,1.9504894392407227e-08
3,8.628413572977742e-08,4.596045023592418e-08,5.967730452415435e-08,4.9618082999409146e-08,7.586866853346389e-07,8.826378947634761e-07,2.1388186102799365e-08,9.901705766852455e-08,1.3865429993559508e-06,3.021123876390028e-09,4.704567088817978e-09,1.9504894392407227e-08
4,8.628413572977742e-08,6.128060031456557e-08,8.354822633381611e-08,4.9618082999409146e-08,1.0504892566171924e-06,1.2749214035472433e-06,2.1388186102799365e-08,9.901705766852455e-08,2.0798144990339264e-06,6.042247752780056e-09,9.409134177635956e-09,3.9009788784814455e-08
5,8.628413572977742e-08,7.660075039320697e-08,9.548368723864698e-08,4.9618082999409146e-08,1.6340943991822991e-06,2.0594884211147774e-06,2.1388186102799365e-08,9.901705766852455e-08,2.7730859987119015e-06,6.042247752780056e-09,9.409134177635956e-09,3.9009788784814455e-08
6,8.628413572977742e-08,9.192090047184836e-08,1.0741914814347785e-07,4.9618082999409146e-08,2.217699541747406e-06,2.9421263158782538e-06,2.1388186102799365e-08,9.901705766852455e-08,3.466357498389877e-06,1.510561938195014e-08,1.4113701266453936e-08,5.8514683177221686e-08
7,8.628413572977742e-08,9.192090047184836e-08,1.312900699531396e-07,4.9618082999409146e-08,4.785562169033876e-06,3.82476421064173e-06,2.1388186102799365e-08,9.901705766852455e-08,4.275174248014182e-06,1.510561938195014e-08,3.7636536710543824e-08,7.801957756962891e-08
8,8.628413572977742e-08,9.192090047184836e-08,1.312900699531396e-07,4.9618082999409146e-08,7.470145824833368e-06,4.020905965033613e-06,2.1388186102799365e-08,9.901705766852455e-08,6.586079246940766e-06,1.510561938195014e-08,6.115937215463372e-08,7.801957756962891e-08
9,8.628413572977742e-08,9.192090047184836e-08,1.312900699531396e-07,4.9618082999409146e-08,1.0971776680224008e-05,5.786181754560566e-06,4.277637220559873e-08,9.901705766852455e-08,1.0052436745330644e-05,1.510561938195014e-08,6.115937215463372e-08,7.801957756962891e-08
10,8.628413572977742e-08,9.192090047184836e-08,1.4322553085797045e-07,4.9618082999409146e-08,1.546553627797533e-05,7.64952842128346e-06,4.277637220559873e-08,9.901705766852455e-08,2.414895723878281e-05,1.8126743258340167e-08,1.1761417722044946e-07,7.801957756962891e-08
11,8.628413572977742e-08,9.192090047184836e-08,1.5516099176280133e-07,4.9618082999409146e-08,1.873372507633993e-05,1.098393824594548e-05,4.277637220559873e-08,9.901705766852455e-08,3.0503945985830918e-05,2.1147867134730195e-08,1.5995528101981127e-07,1.365342607468506e-07
12,8.628413572977742e-08,9.192090047184836e-08,1.5516099176280133e-07,4.9618082999409146e-08,2.2293716445987082e-05,1.657397824611416e-05,4.277637220559873e-08,9.901705766852455e-08,3.8361022982181304e-05,2.4168991011120222e-08,2.446374886185349e-07,2.3405873270888674e-07
13,8.628413572977742e-08,9.192090047184836e-08,1.5516099176280133e-07,4.9618082999409146e-08,2.9355338671024875e-05,2.402736491300574e-05,4.277637220559873e-08,9.901705766852455e-08,4.321392347992713e-05,3.32323626402903e-08,3.6225166583898434e-07,2.925734158861084e-07
14,8.628413572977742e-08,1.6852165086505533e-07,1.5516099176280133e-07,4.9618082999409146e-08,3.583335575349756e-05,3.246146035185673e-05,4.277637220559873e-08,9.901705766852455e-08,5.6617172473701327e-05,3.32323626402903e-08,4.610475747041619e-07,2.925734158861084e-07
15,8.628413572977742e-08,1.6852165086505533e-07,1.7903191357246307e-07,4.9618082999409146e-08,4.692185346223459e-05,4.393575298378192e-05,4.277637220559873e-08,9.901705766852455e-08,7.418005046554336e-05,3.32323626402903e-08,5.692526177469753e-07,3.1207831027851564e-07
16,8.628413572977742e-08,1.6852165086505533e-07,1.7903191357246307e-07,4.9618082999409146e-08,5.5967733171993746e-05,6.296150315979463e-05,4.277637220559873e-08,9.901705766852455e-08,9.867564345416517e-05,3.6253486516680334e-08,9.409134177635957e-07,3.510880990633301e-07
17,8.628413572977742e-08,1.6852165086505533e-07,1.7903191357246307e-07,4.9618082999409146e-08,6.623918368113962e-05,7.69856385988143e-05,4.277637220559873e-08,9.901705766852455e-08,0.00012952622518983507,3.6253486516680334e-08,1.1008686987834069e-06,4.4861257102536626e-07
18,8.628413572977742e-08,1.6852165086505533e-07,1.7903191357246307e-07,4.9618082999409146e-08,8.24634066444496e-05,0.00010003229473986062,4.277637220559873e-08,9.901705766852455e-08,0.00015702599467706143,3.6253486516680334e-08,1.3690290228460317e-06,4.681174654177735e-07
19,8.628413572977742e-08,1.6852165086505533e-07,1.7903191357246307e-07,4.9618082999409146e-08,9.950467680735071e-05,0.00012553072281080548,4.277637220559873e-08,9.901705766852455e-08,0.0002541995498819243,3.6253486516680334e-08,2.0135547140140946e-06,4.681174654177735e-07
20,8.628413572977742e-08,1.6852165086505533e-07,1.7903191357246307e-07,4.9618082999409146e-08,0.00011969741474010341,0.00015691340351350685,4.277637220559873e-08,9.901705766852455e-08,0.0002541995498819243,3.6253486516680334e-08,2.9215361621559646e-06,4.876223598101807e-07
21,8.628413572977742e-08,1.6852165086505533e-07,1.7903191357246307e-07,4.9618082999409146e-08,0.00014356686507101629,0.00020202600702364009,4.277637220559873e-08,9.901705766852455e-08,0.0003061949123577725,3.927461039307036e-08,4.252928648291452e-06,5.266321485949951e-07
22,8.628413572977742e-08,1.6852165086505533e-07,1.7903191357246307e-07,2.8116913699665185e-07,0.00017473137968399298,0.0002316434119368145,4.277637220559873e-08,9.901705766852455e-08,0.00034779120233845097,3.927461039307036e-08,5.3067516761866795e-06,5.461370429874024e-07
23,8.628413572977742e-08,1.8384180094369672e-07,1.7903191357246307e-07,1.3066095189844409e-06,0.0002119070272653903,0.00029372227720184563,4.277637220559873e-08,9.901705766852455e-08,0.00044923993179132806,4.229573426946039e-08,7.273260719312595e-06,5.461370429874024e-07
24,8.628413572977742e-08,1.8384180094369672e-07,1.7903191357246307e-07,2.1831956519740025e-06,0.0002453476019343709,0.0003475631887824177,6.41645583083981e-08,9.901705766852455e-08,0.0005592390097402335,4.5316858145850414e-08,8.896336364954798e-06,5.461370429874024e-07
25,8.628413572977742e-08,1.8384180094369672e-07,1.7903191357246307e-07,3.787513668954898e-06,0.00027715408220416925,0.00041856650387227956,1.4971730271959554e-07,9.901705766852455e-08,0.0007021684839238427,4.5316858145850414e-08,1.035475216248837e-05,5.461370429874024e-07
26,8.628413572977742e-08,1.8384180094369672e-07,1.7903191357246307e-07,5.325674241936582e-06,0.0003244844592661994,0.0005070264351030191,2.566582332335924e-07,1.980341153370491e-07,0.0008054659373758611,4.5316858145850414e-08,1.1446211727094141e-05,5.461370429874024e-07
27,1.7256827145955483e-07,1.8384180094369672e-07,1.7903191357246307e-07,6.615744399921219e-06,0.0003742076174127465,0.0005846985698422049,5.347046525699841e-07,6.931194036796719e-07,0.0009260951783198288,4.5316858145850414e-08,1.3713813063904407e-05,5.656419373798096e-07
28,6.902730858382193e-07,1.8384180094369672e-07,1.7903191357246307e-07,1.0750584649871983e-05,0.0004336769814401309,0.0006284381810715949,7.271983274951784e-07,1.1882046920222947e-06,0.0010155272017782877,4.5316858145850414e-08,1.6075505742491032e-05,5.851468317722168e-07
29,1.1216937644871064e-06,1.8384180094369672e-07,2.0290283538212482e-07,1.4686952567825108e-05,0.0005020755041487614,0.0007299415389693947,1.411620282784758e-06,1.2872217496908193e-06,0.001122406557978642,4.5316858145850414e-08,1.836662991474539e-05,6.04651726164624e-07
30,1.9845351217848807e-06,1.8384180094369672e-07,2.506446790014483e-07,1.865639920777784e-05,0.0005697153401720573,0.0008091828077437156,1.7752194465323473e-06,1.3862388073593438e-06,0.0012379518079249714,4.5316858145850414e-08,2.0022637530009316e-05,8.972251420507325e-07
31,4.314206786488871e-06,1.8384180094369672e-07,5.60966662527051e-07,2.793498072866735e-05,0.0006341453479112451,0.0008859723045881381,2.4382532157191274e-06,1.4852558650278683e-06,0.001398559705350369,4.8337982022240445e-08,2.1542212699697524e-05,1.5603915513925783e-06
32,9.404970794545738e-06,2.1448210110097953e-07,6.803212715753597e-07,3.0349727434638595e-05,0.0006857360425140005,0.0009695286919590805,3.2296161015227043e-06,2.3764093840445895e-06,0.001519651127294122,1.0573933567365097e-07,2.6896010046772382e-05,3.0232586308231203e-06
33,1.4582018938332384e-05,2.604425513369037e-07,1.3248361604362267e-06,4.138148122150723e-05,0.0007350506770607521,,4.277637220559873e-06,3.4655970183983595e-06,0.0016492928977339034,1.0573933567365097e-07,3.21604206191597e-05,6.729188565380494e-06
34,1.7256827145955484e-05,5.82165702988373e-07,1.5396744567231825e-06,5.109008612839162e-05,0.0007945200410881364,,5.582316572830634e-06,6.040040517779998e-06,0.001780783392172826,1.0573933567365097e-07,3.721312567255021e-05,1.1722441529836744e-05
35,2.0621908439416802e-05,8.732485544825594e-07,1.873867362058447e-06,6.380885473724017e-05,0.0008577244780279376,,7.999181602446962e-06,1.3565336900587865e-05,0.0018612028861354712,1.6011956544867146e-07,4.2604559556335614e-05,1.4862729527014308e-05
36,2.303786423985057e-05,1.5320150078641394e-06,2.339350337346851e-06,7.667647759508694e-05,0.0009176023656551175,,9.196920024203727e-06,1.5941746284632455e-05,0.00197235741658384,1.6011956544867146e-07,,1.7398365798027246e-05
37,2.709321861915011e-05,1.991619510223381e-06,3.1270907570656886e-06,9.730106076184134e-05,,,1.2597641614548826e-05,2.0100462706710485e-05,0.0021773346899886283,1.7824630870701165e-07,,2.2352608973698683e-05
38,3.4427370156181186e-05,2.726986713998168e-06,4.774184361932349e-06,0.0001219777873735475,,,2.5751376067770435e-05,2.455623030179409e-05,0.002276934695442364,1.8126743258340165e-07,,3.111030655588953e-05
39,4.823283187294558e-05,3.2478718166719755e-06,8.163855258904316e-06,0.00015169901909019358,,,3.505523702248816e-05,3.2279560799939005e-05,,1.9939417584174184e-07,,3.943889646144742e-05
40,5.944976951781664e-05,4.366242772412798e-06,1.0109335386391749e-05,0.00016785797478700113,,,4.577071825999064e-05,4.574588064285834e-05,,2.084575474709119e-07,,5.7168845464145585e-05
41,7.644774425658279e-05,6.48042348326531e-06,1.0765785736157446e-05,0.0002061135167795456,,,6.425011105280929e-05,6.139057575448522e-05,,2.6888002499871245e-07,,6.877425762762789e-05
42,9.36182872668085e-05,9.391251998207175e-06,1.3594489970602362e-05,0.0002499593627900235,,,9.049341540094411e-05,7.673821969310653e-05,,3.111757592681729e-07,,8.215461518081925e-05
43,0.00010725118071211333,1.0969227456307239e-05,1.546835733266081e-05,0.00029208511525652186,,,0.00012304623464940475,9.149176128571669e-05,,3.7764048454875347e-07,,9.385755181626359e-05
44,0.00012821822569444923,1.725048898855021e-05,1.8702867237869975e-05,0.0002935736577465041,,,0.00016582260685500346,0.00010218560351391735,,4.803586963460144e-07,,0.00010392207732274571
45,0.00015488002363495045,2.163205191104165e-05,2.8275106883544336e-05,0.00039661387677527714,,,0.00019657881847082897,0.00011099812164641603,,7.039218631988765e-07,,0.00011246522106662008
46,0.00019474329434210761,2.7331147740296247e-05,3.654638129059213e-05,0.00046277132077448933,,,0.0002390771442570913,0.00011555290629916815,,1.0211398702198295e-06,,0.00012256875636188703
47,0.0002428898420793234,3.494526232938102e-05,4.529507413383316e-05,0.0005210891076597949,,,0.00029336036058599606,0.00012882119202675045,,1.308146638476882e-06,,0.0001319896203534197
48,0.000293452345616973,4.406075162617265e-05,5.774375985757176e-05,0.0005906701993859663,,,0.0003667432271047007,0.00014090127306231045,,1.6737026275200753e-06,,0.00013914791659543315
49,0.00032296152003655687,5.608706943790614e-05,7.17559909598432e-05,0.0006786926786269182,,,0.0004273359583339313,0.00016070468459601536,,2.277927402798081e-06,,0.00014398513040475016
50,0.0003683469754304198,6.892535520380763e-05,8.541015823496972e-05,0.0007776972935717392,,,0.000533121926798377,0.00017288378268924388,,3.0966519732997786e-06,,0.0001465402715701555
51,0.0004259847780979111,8.308117387647229e-05,9.784690849780349e-05,0.0008861458836474478,,,0.0006111032533291835,0.0001887265119162078,,3.963714525823717e-06,,0.00015126045601311807
52,0.0005379815862751622,0.00010161855547162837,0.00016874354627249887,0.0009781047308063528,,,0.0007077136899555282,0.00019961838825974552,,5.024129006436616e-06,,0.00015348401397385247
53,0.0006284936446556987,0.00011842476010789797,0.00021707022747615906,0.0010573117306344095,,,0.0008485335072563592,0.0002249667550228878,,6.567923307271921e-06,,0.00015562955235701729
54,0.0007881192957557869,0.0001399342508183105,0.000256170797400385,0.0011441268365223758,,,0.0010182915403542778,0.00024853281474799665,,8.915336559226972e-06,,0.00015771657605700485
55,0.0009349748947678681,0.00016844505011466213,0.00029568910845628,0.0012302969073313497,,,0.0012017594007440906,0.0002778418638178799,,1.1401721509495964e-05,,0.0001591989480308278
56,0.0010266949310486215,0.00019321773279182527,0.0003486586839519194,0.0013320635955631377,,,0.0013701058135592245,0.0003016059576583258,,1.4081458387853919e-05,,0.00016064231021586595
57,0.0011022798339479065,0.00022151404998707591,0.00037661153339103333,0.0014306216477609642,,,0.0015452536695550485,0.00034131179778340413,,1.9416763153558707e-05,,0.00016228072134482813
58,0.001204871671330612,0.00024539816395967784,0.00043573980671356545,0.0015294277903737876,,,0.0016853249003422816,0.00036636311337354084,,2.8443881296212113e-05,,0.000164094676523322
59,0.0013242889151806238,0.00030419689996150355,0.000504726770743488,0.0016157136367097602,,,0.0018221665150279919,0.0003988407082888169,,4.30510152385579e-05,,0.0001670594204709679
60,0.0014469849561883673,0.00034166998705386037,0.0005798485616784934,0.0016826980487589624,,,0.0020194083672680076,0.0004391406507599064,,5.9286534950277904e-05,,0.00016875634628310733
61,,0.00038657334693435833,0.0006271726641661478,0.0017497320788911642,,,0.002184503775795516,0.000489837384286191,,8.080600032180408e-05,,0.0001716235657587912
62,,0.00044665897554278984,0.0006838780389249993,0.0018288233031922225,,,0.0023577908596003963,0.0005412272372161553,,0.00010636168719218732,,0.0001735350454092471
63,,0.0005050134271923349,0.0007389601910007937,0.001906029040339303,,,0.002517603386160513,0.0006018256765092922,,0.00014030703506730566,,0.00017478335865036117
64,,0.0005756546392049504,0.0008040442593148365,0.0019818620105234,,,,,,0.00016685969281689762,,0.0001762657306241841
65,,0.0006154717092593393,0.0008775189566449754,,,,,,,0.00020904364550293158,,0.00017821622006342484
66,,0.0006825126860034741,0.0008775189566449754,,,,,,,0.00025978946325465487,,0.0001802447290802352
67,,0.0007986087832994186,0.0009512084922714012,,,,,,,0.00031626937412376646,,0.00018201967446994426
68,,0.0008730800328316944,,,,,,,,0.00037662840805016283,,0.00018486738905123572
69,,0.0009054974703980996,,,,,,,,0.0004320962424206837,,0.00018691540296243846
70,,,,,,,,,,0.0004973374125313264,,0.00018843678472504622
71,,,,,,,,,,0.0005728594671933243,,0.00019087489652409712
72,,,,,,,,,,0.0006547409876151233,,0.00019087489652409712
73,,,,,,,,,,0.0007418067566088074,,0.00019458082645865452
74,,,,,,,,,,0.0008397666983007541,,0.00019625824737640153
75,,,,,,,,,,,,0.0001980917074492878
