date,new_patients,er,hospitalized,icu,recovered,dead
2020-03-12,0.0,0,0.0,0.0,0.0,0.0
2020-03-13,51.52378523281093,0,7.7285677849216405,2.576189261640547,0.0,0.0
2020-03-14,0.4718536036412129,0,7.799345825467823,2.5997819418226076,0.0,0.0
2020-03-15,48.39366002931573,0,15.058394829865183,5.019464943288394,0.0,0.0
2020-03-16,48.413939698864596,0,22.320485784694874,7.440161928231625,0.0,0.0
2020-03-17,93.00945824435543,0,36.27190452134819,12.090634840449397,0.0,0.0
2020-03-18,138.09477899326518,0,49.257553585416325,18.995373790112655,7.3421393956755585,0.386428389246082
2020-03-19,222.52076310268262,0,82.56489001027253,30.121411945246788,7.409378534194431,0.38996729127339114
2020-03-20,277.3704782910368,0,116.91141274953071,42.70184122897835,14.305475088371923,2.0410143723135326
2020-03-21,397.55070676024576,0,169.2819278087379,62.56758022689961,21.204461495460126,2.4159152601460474
2020-03-22,391.21158532646126,0,214.01224687105378,80.91831799248978,34.45830929528077,4.323327697711607
2020-03-23,503.8411867137991,0,268.87420802913385,104.90002883570813,54.13681530182106,6.56938703263271
2020-03-24,533.6616475448783,0,315.5453406954632,129.25787475684317,85.84602404395334,10.563529212011716
2020-03-25,650.6027621667732,0,371.53018327682366,158.33564339035019,125.37131720042609,16.09617727402612
2020-03-26,716.2907529778518,0,419.3411902094646,188.58716196167572,182.0222929137611,24.640826652295033
2020-03-27,848.7659759593267,0,487.9743488043944,224.09119880236614,237.76994382278184,34.509175499519415
2020-03-28,953.615942026526,0,555.4405621013034,261.8332282346863,309.5673129294982,48.22675206887905
2020-03-29,1113.3793831907117,0,642.3982224481784,307.7219077610603,385.61409770464337,62.00950405862717
2020-03-30,1264.2757935936513,0,734.4491771622102,358.33966777289794,478.32499131340853,79.48505444272294
2020-03-31,1464.7309711310247,0,846.7152098851861,418.2346751408272,580.3964236127524,98.19877627867879
2020-04-01,1672.5071576365585,0,970.2763871367708,485.59496396848584,701.3455751869565,120.82959015254308
2020-04-02,1929.887025076275,0,1116.7170495942332,564.1820463978534,837.2358469257365,145.8889785421883
2020-04-03,2210.0423740330953,0,1281.216498220591,652.1769210697046,997.1805036612332,175.45847331510183
2020-04-04,2544.762219256008,0,1473.2894620699444,755.5628371417508,1177.3516005884194,208.78094031771735
2020-04-05,2918.5755881341356,0,1691.366154620411,872.447290467957,1387.2856054753233,247.60090718096782
2020-04-06,3356.876118987193,0,1944.0214988230061,1007.4738530850037,1626.8282239310047,291.75160570308327
2020-04-07,3852.988453260283,0,2232.4867130506072,1161.1797650136334,1904.1623614604828,342.844032669431
2020-04-08,4429.003548588419,0,2565.330889233906,1337.3648940273088,2222.5457692350305,401.23202941559316
2020-04-09,5085.581249378622,0,2946.453743752298,1537.833761791766,2590.7374045565784,468.5649216869201
2020-04-10,5843.993012027668,0,3385.266357336328,1767.8480910850458,3013.5686878229685,545.7052979487535
2020-04-11,6711.6287109429795,0,3888.479246129696,2029.8717034817887,3501.8623024476497,634.5009243225576
2020-04-12,7711.112814847671,0,4467.197900367804,2332.682664887657,4060.6934466704015,736.3627274253631
2020-04-13,8856.674946771333,0,5131.348610095241,2678.9984795836995,4704.422482012096,853.5021570144561
2020-04-14,10174.393687457754,0,5894.670475807111,3078.051911436458,5442.459351237171,987.9687277163029
2020-04-15,11686.103805973897,0,6770.987094899046,3535.366943966273,6291.493424505284,1142.5237640212208
2020-04-16,13423.575068200436,0,7777.779048487664,4061.498897317383,7265.807784639104,1320.0005105877588
2020-04-17,15417.675391236435,0,8933.763434945979,4665.06369217953,8385.860510153881,1523.933681999808
2020-04-18,17708.43535913798,0,10261.527496800976,5358.854343812191,9671.77708861946,1758.1494618741674
2020-04-19,20337.91129960317,0,11786.055138622789,6155.13760384139,11149.462673661958,2027.2352349012924
2020-04-20,23357.4989467474,0,13536.764409738815,7069.988782669635,12846.339360853079,2336.29788711538
2020-04-21,26823.44374134681,0,15546.74471071077,8120.182853272257,14795.817082349917,2691.3345423133273
2020-04-22,30802.36572780087,0,17854.448261195437,9326.335865572039,17034.648504542023,3099.1197028969477
2020-04-23,35368.71487126597,0,20503.490188014635,10710.93505680342,19606.347718846093,3567.5223447954936
2020-04-24,40609.19561914879,0,23544.182835946474,12300.70189362912,22559.751138390373,4105.498564323429
2020-04-25,46621.709115443184,0,27033.814361250847,14125.457409941433,25951.813793783276,4723.390690402483
2020-04-26,53519.17845801505,0,31038.174568751077,16220.00416064875,29847.11891662855,5433.014300952664
2020-04-27,61429.68757208786,0,35632.27284539413,18623.62916260978,34320.37793581486,6247.969517579855
2020-04-28,70500.0760236537,0,40901.97701825229,21381.72215892729,39456.74451630177,7183.82097264802
2020-04-29,80897.09350274516,0,46945.161700791745,24545.792602154816,45354.27998074518,8258.449082986657
2020-04-30,92811.03030182431,0,53873.559878748914,28174.98671422991,52125.013060930294,9492.32977313413
2020-05-01,106457.76311423557,0,61814.347577181994,32336.545154162282,59897.59581649813,10908.953502047963
2020-05-02,122082.58857290828,0,70912.28272730505,37107.34113714804,68819.11701329422,12535.218886724702
2020-05-03,139963.0349215601,0,81331.72656199102,42574.73560140448,79058.15566703607,14401.94891835248
2020-05-04,160412.9413581728,0,93259.10374030516,48838.22360634164,90807.40836484655,16544.419308925266
2020-05-05,183785.83161917317,0,106905.3239379075,56010.65344452251,104287.34002504295,19003.00393678029
2020-05-06,210479.09116013368,0,122508.52314479221,64220.028069811226,119749.72386397088,21823.864497705687
2020-05-07,240937.50570306517,0,140336.76071431575,73611.03822071386,137482.08211231531,25059.759669548108
2020-05-08,275657.0756690395,0,160690.86682643765,84347.00604152904,157812.25647341856,28770.926509315697
2020-05-09,315187.9571397913,0,183907.1191936804,96611.62830021745,181113.81150093657,33026.0882838247
2020-05-10,360136.9438301616,0,210359.7860253287,110610.95183619644,207811.74028915886,37903.5578940075
2020-05-11,411168.4319764465,0,240463.18714777564,126575.11242739578,238388.94825314658,43492.47461166282
2020-05-12,469003.8076877074,0,274673.13244547194,144760.07092776813,273393.128909367,49894.15169491514
2020-05-13,534418.1108407942,0,313487.2877212352,165448.9400476095,313444.3213354002,57223.55704143628
2020-05-14,608233.4227155577,0,357444.10755760013,188952.95566902912,359242.82309960213,65610.90436256134
2020-05-15,691307.5994944867,0,407119.7059072489,215611.67886154875,411577.5674858788,75203.35833301354
2020-05-16,784517.3007548868,0,463122.036224015,245792.30224291224,471334.6117704086,86166.82050133169
2020-05-17,888733.6557543249,0,526081.5134340075,279887.58197342406,539505.6338273572,98687.77265474353
2020-05-18,1004789.1375617428,0,596637.1674421498,318312.0858627978,617195.9568114725,112975.11928546065
2020-05-19,1133433.9021166477,0,675417.2393523133,361496.1838758462,705631.7214490309,129261.96514802003
2020-05-20,1275280.2327452432,0,763013.1343399268,409877.3154045199,806165.4817145638,147807.22491524852
2020-05-21,1430733.9434798306,0,859945.6307486685,463887.9012530769,920279.4728296808,168896.9402387991
2020-05-22,1599912.5241631172,0,966622.4610099874,523939.3933960147,1049585.4628525279,192845.13264431874
2020-05-23,1782550.933259308,0,1083286.730364622,590401.9428257853,1195819.979669399,219993.983694904
2020-05-24,1977897.8781110616,0,1209956.3267637843,663579.4194644412,1360833.3865940606,250713.07935463695
2020-05-25,2184607.79806317,0,1346355.4615614733,743679.7573946017,1546571.143294212,285397.40953926987
2020-05-26,2400636.8732400774,0,1491840.9010255104,830781.1077132102,1755045.3760305673,324463.76166828483
2020-05-27,2623154.73338181,0,1645327.2324083142,924794.8612846662,1988294.8880028147,368345.1114181393
2020-05-28,2848486.9102117,0,1805217.628951173,1025427.4205656787,2248331.8336348427,417482.59200457984
2020-05-29,3072105.567180712,0,1969348.7823116204,1132143.4589289103,2537073.708157395,472314.63919449074
2020-05-30,3288686.808275725,0,2134960.633843504,1244134.3270827192,2856260.0183098917,533262.9710114473
2020-05-31,3492250.6796501204,0,2298702.7048050105,1360295.9905166947,3207354.1963423565,600715.1945135243
2020-06-01,3676393.914903448,0,2456688.582033256,1479221.2805108768,3591432.9566486753,675004.0499654672
2020-06-02,3834614.984824963,0,2604607.7932252456,1599211.0127289305,4009067.436546035,756383.6236230569
2020-06-03,3960716.6481847456,0,2737899.45537585,1718307.5240326026,4460202.932640307,845003.2837114575
2020-06-04,4049254.77946404,0,2851984.651054098,1834352.254682623,4944046.638387486,940880.607528818
2020-06-05,4095987.0507518114,0,2942545.106719352,1945066.2780533335,5458975.05022499,1043875.1268057118
2020-06-06,4098265.175369881,0,3005825.7957893168,2048149.4340960623,6002474.115617603,1153665.251374381
2020-06-07,4055313.800668317,0,3038930.61816582,2141390.515744367,6571125.092349019,1269731.1307518212
2020-06-08,3968349.9805774186,0,3040075.6180247213,2222778.438461608,7160646.943154387,1391346.353485793
2020-06-09,3840518.773938155,0,3008765.2171958378,2290603.1549849757,7766001.596780931,1517581.1389523975
2020-06-10,3676648.8853602065,0,2945864.4923870973,2343535.677229736,8381561.757331694,1647318.9580376546
2020-06-11,3482860.953663474,0,2853553.859131136,2380679.0068393135,9001332.893408898,1779287.3163395298
2020-06-12,3266083.197695335,0,2735169.268685189,2401585.6773512065,9619212.92310821,1912101.8461133374
2020-06-13,3033539.6026129005,0,2594947.711990511,2406242.2547661224,10229266.568671975,2044321.1003519152
2020-06-14,2792273.0936421426,0,2437710.8599461094,2395025.617478745,10825987.94091094,2174507.836173159
2020-06-15,2548752.346725116,0,2268526.379150846,2368639.290348986,11404525.602026347,2301291.4523277967
2020-06-16,2308590.7658104184,0,2092385.8509728876,2328039.937460051,11960849.209754394,2423425.8788287267
2020-06-17,2076385.1779555525,0,1913931.14801192,2274364.105889278,12491844.933760524,2539837.7249454465
2020-06-18,1855664.4054713962,0,1737249.8684406946,2208863.6295659677,12995336.499888156,2649660.79580663
2020-06-19,1648926.517517881,0,1565747.8820220553,2132855.2363199615,13470038.054911677,2752254.9239513297
2020-06-20,1457738.6178522413,0,1402095.8226911242,2047686.5069403576,13915452.4345269,2847209.056617091
2020-06-21,1282873.3660793824,0,1248238.2127314685,1954717.0809120205,14331732.885646138,2934330.3147017225
2020-06-22,1124460.2315905993,0,1105449.4707767258,1855311.4359508366,14719527.621377392,3013622.0122045167
2020-06-23,982134.9049975509,0,974420.0457056491,1750838.0374348292,15079825.17377769,3085254.2643908123
2020-06-24,855175.9047924363,0,855357.4537968322,1642669.2870209434,15413815.118728606,3149530.842721085
2020-06-25,742622.3199124766,0,748090.0091058676,1532177.423393181,15722774.241259152,3206855.492491762
2020-06-26,643370.4135120658,0,652164.5662207701,1420723.1048620422,16007983.37219426,3257700.2056753044
2020-06-27,556249.4230186231,0,566932.9449349737,1309635.4811824204,16270675.584580168,3302577.1228585397
2020-06-28,480078.47368968476,0,491624.48023879377,1200184.7256982124,16512012.653559027,3342014.968798006
2020-06-29,413707.3096809053,0,425404.19097206416,1093549.8358780574,16733083.969506385,3376540.2938737143
2020-06-30,356043.7778610951,0,367417.40966435685,990785.6827977193,16934920.619442366,3406663.3338979967
2020-07-01,306070.881643502,0,316822.4798840723,892793.6071260782,17118517.12550184,3432868.009619148
2020-07-02,262855.9130157236,0,272813.45338363736,800299.3209374655,17284854.192123584,3455605.4382895995
2020-07-03,225553.78101858465,0,234634.74948297231,713840.6697082099,17434917.454566747,3475290.2871800736
2020-07-04,193406.25440315192,0,201589.59119130933,633766.2567875794,17569709.236261602,3492299.3275781465
2020-07-05,165738.46523158788,0,173043.79429688328,560244.3908658631,17690252.301947862,3506971.6177543467
2020-07-06,141953.69810492374,0,148426.2167660965,493280.58436095883,17797586.211250186,3519609.8321086955
2020-07-07,121527.22251912682,0,127226.91319160702,432741.0818951274,17892757.94800019,3530482.3459028406
2020-07-08,103999.71182569633,0,108993.80281267376,378379.6659964358,17976808.991244227,3539825.7713015676
2020-07-09,88970.62567967393,0,93328.45850415208,329865.18931824144,18050760.992633462,3547847.7160349847
2020-07-10,76091.80640230188,0,79881.45967975917,286807.77217494487,18115601.88686691,3554729.599049686
2020-07-11,65061.44592598822,0,68347.62185291885,248782.2226648595,18172273.754293166,3560629.4081455516
2020-07-12,55618.512091928635,0,58461.31528883912,215347.85248668172,18221663.217654124,3565684.3239452345
2020-07-13,47537.675142283944,0,49992.00978632725,186064.38800140785,18264594.68237905,3570013.16423655
2020-07-14,40624.742418548085,0,42740.127297158375,160504.07193441826,18301826.369163338,3573718.624492126
2020-07-15,34712.58764409429,0,36533.24448342724,138260.31090116964,18334048.849195477,3576889.305835786
2020-07-16,29657.547682021734,0,31222.65974683226,118953.36464546694,18361885.663237743,3579601.5323222224
2020-07-17,25336.2519828622,0,26680.3207304723,102233.62174675088,18385895.561548643,3581920.966322969
2020-07-18,21642.846311545407,0,22796.09640586152,87782.99233871285,18406575.915831886,3583904.035034686
2020-07-19,18486.57146624463,0,19475.370763016002,75314.89626748476,18424366.903468773,3585599.183405123
2020-07-20,15789.658622939309,0,16636.931409842753,64573.254578051994,18439656.129950076,3587047.969691011
2020-07-21,13485.504976590628,0,14211.125004028087,55330.81681989045,18452783.424941294,3588286.01985909
2020-07-22,11517.096021646823,0,12138.251609845782,47387.084888782876,18464045.612889938,3589343.8564400636
2020-07-23,9835.643788832966,0,10367.171231438915,40566.0305607809,18473701.116314728,3590247.616479451
2020-07-24,8399.413408093575,0,8854.097522716256,34713.75040614941,18481974.297274135,3591019.672065019
2020-07-25,7172.713353685807,0,7561.555732328232,29696.15855596627,18489059.479987983,3591679.1656624796
2020-07-26,6125.02755693461,0,6457.484119379829,25396.784016367183,18495124.62607794,3592242.4712364604
2020-07-27,5230.2701941355135,0,5514.4602452531335,21714.71360787738,18500314.654713646,3592723.5909221964
2020-07-28,4466.1463472881205,0,4709.035629021406,18562.702737848853,18504754.414516535,3593134.4958750275
2020-07-29,3813.6038873828825,0,4021.1642009148027,15865.46273603442,18508551.323722832,3593485.418876129
2020-07-30,3256.363849009997,0,3433.7117752134313,13558.124191772247,18511797.701017726,3593785.105321002
2020-07-31,2780.5182633696777,0,2932.035381178691,11584.869609680842,18514572.812604643,3594041.0283628814
2020-08-01,2374.1859105958674,0,2503.622738647744,9897.724923218788,18516944.66225546,3594259.5732231797
2020-08-02,2027.2177598068008,0,2137.7834505255464,8455.497319987546,18518971.550912246,3594446.195009708
2020-08-03,1730.9450050975086,0,1825.38461818274,7222.845936831934,18520703.431344755,3594605.5537937167
2020-08-04,1477.963596002666,0,1558.6245802316405,6169.471897486162,18522183.0817537,3594741.6301812665
2020-08-05,1261.9500190233684,0,1330.839343579694,5269.4146101504,18523447.120297335,3594857.824165426
2020-08-06,1077.5038285867533,0,1136.337031278327,4500.442013303945,18524526.88048164,3594957.0396559807
2020-08-07,920.0130658262938,0,970.256327181251,3843.5234104394626,18525449.16531199,3595041.756745763
2020-08-08,785.5392549055092,0,828.445464652451,3282.374567631206,18526236.896133002,3595114.093481066
2020-08-09,670.719140906304,0,707.3587963879968,2803.065794025235,18526909.67023209,3595175.8586520315
2020-08-10,572.6807408649962,0,603.9684046642409,2393.684740367564,18527484.239575375,3595228.5969023015
2020-08-11,488.9716294179632,0,515.6885747889223,2044.04660752363,18527974.921495363,3595273.627270916
2020-08-12,417.49768063461164,0,440.3112670101701,1745.445340538606,18528393.950757783,3595312.076119385
2020-08-13,356.4707448684648,0,375.9509905046135,1490.440187346536,18528751.78119633,3595344.905259512
2020-08-14,304.36395984047334,0,320.9977133447388,1272.6727234905632,18529057.34400911,3595372.935979714
2020-08-15,259.8735838727464,0,274.0766397959013,1086.7100874694172,18529318.268848527,3595396.869566643
2020-08-16,221.88640070145541,0,234.01385548842518,927.9107400584671,18529541.072994646,3595417.304832387
2020-08-17,189.4518834839122,0,199.8069859158203,792.3095608576502,18529731.32316899,3595434.753083513
2020-08-18,161.75842380906255,0,170.60013775690996,676.5195326304512,18529893.773908813,3595449.650904835
2020-08-19,138.11303258897223,0,145.66249866918477,577.6476450594622,18530032.485870276,3595462.37107655
2020-08-20,117.92400611367054,0,124.37006200532339,493.2229805181842,18530150.926952202,3595473.2318970505
2020-08-21,100.68612440653088,0,106.19002056108471,421.135231158257,18530252.058720887,3595482.5051440517
2020-08-22,85.96801213490349,0,90.6674398587334,359.58214440328686,18530338.41026205,3595490.422872775
2020-08-23,73.40134626461922,0,77.4138782270669,307.02460770381134,18530412.141281437,3595497.183220971
2020-08-24,62.671640728102226,0,66.0976694479364,262.148267525681,18530475.09601371,3595502.9553658026
2020-08-25,53.51037774361011,0,56.43562519242734,223.83073591756826,18530528.849274483,3595507.883756444
2020-08-26,45.68828905274592,0,48.1859498893596,191.11357407989703,18530574.745797686,3595512.0917281914
2020-08-27,39.00961906915399,0,41.142190929497175,163.17835916584417,18530613.93383513,3595515.684588435
2020-08-28,33.307226466785565,0,35.12807295982213,139.32624073336288,18530647.39385362,3595518.7522516423
2020-08-29,28.438401691443378,0,29.9930871043233,118.96047914192471,18530675.963043794,3595521.371489251
2020-08-30,24.281295776087514,0,25.608724809194918,101.57153175145599,18530700.356251147,3595523.6078507407
2020-08-31,20.731871124433557,0,21.86526211994806,86.7243157678502,18530721.18385086,3595525.517303927
2020-09-01,17.701297979700147,0,18.669013956529984,74.04733048779588,18530738.967012312,3595527.1476355135
2020-09-02,15.113731441520716,0,15.939989702740256,63.22336781768797,18530754.1507341,3595528.539646938
2020-09-03,12.904413412176547,0,13.60989146085023,53.981579389856336,18530767.114974964,3595529.7281754278
2020-09-04,11.01805198105639,0,11.620404891595562,46.09070233122769,18530778.18415861,3595530.7429658077
2020-09-05,9.407437696589184,0,9.921739877418908,39.3532745769524,18530787.63528984,3595531.6094148834
2020-09-06,8.03226210121364,0,8.47138449564593,33.60069527007451,18530795.70488482,3595532.349207013
2020-09-07,6.8581089653327,0,7.233041124217728,28.689006853132494,18530802.59488864,3595532.9808567767
2020-09-08,5.855592977132558,0,6.175718058961129,24.49529345727006,18530808.477728143,3595533.520172327
2020-09-09,4.999624334643502,0,5.272953911999196,20.914605573239907,18530813.500626367,3595533.980651003
2020-09-10,4.268780836733159,0,4.502155383020792,17.857334126930386,18530817.789286386,3595534.373817121
2020-09-11,3.644771759629286,0,3.84403183178314,15.246968305222172,18530821.451036844,3595534.7095103865
2020-09-12,3.1119801023434728,0,3.2821125023347557,13.018181064552026,18530824.577517673,3595534.9961321456
2020-09-13,2.6570717454552786,0,2.802334317583164,11.11519444267897,18530827.246973332,3595535.2408556454
2020-09-14,2.26866174217436,0,2.3926899287127927,9.490383787451814,18530829.52621082,3595535.449805552
2020-09-15,1.9370293903140268,0,2.0429272117499226,8.10308598894895,18530831.47227153,3595535.628211233
2020-09-16,1.6538749545518316,0,1.744292690988305,6.9185819019918045,18530833.133858733,3595535.7805376295
2020-09-17,1.4121119506630648,0,1.4893124682362435,5.90722750187778,18530834.552556373,3595535.910597001
2020-09-18,1.2056897933702109,0,1.2716051754234834,5.04371203588592,18530835.76386976,3595536.0216443334
